user_input,reference,category,source_doc,notes,query_length,query_style,synthesizer_name
"kak, syarat buat mulai ngerjain skripsi/tugas akhir tuh apa aja sih?","Untuk mulai mengerjakan skripsi/tugas akhir, mahasiswa harus berstatus Aktif (telah membayar UKT), berkonsultasi dengan PA, dan mengontrak skripsi (6 SKS) di KRS Portal INSPIRE. Mahasiswa akan dibimbing oleh Komisi Pembimbing yang diusulkan Korprodi dan ditetapkan melalui SK Dekan (berlaku 6 bulan, dapat diperpanjang). Peraturan tingkat universitas tidak menyebutkan syarat jumlah SKS minimum untuk mengontrak skripsi; ketentuan tersebut kemungkinan diatur dalam pedoman tugas akhir tingkat program studi.",semantic,Pasal 21(3)(4); Pasal 63,survey; answerable=Sebagian (syarat SKS spesifik tidak diatur di level peraturan ini),MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
Berapa total SKS minimal yang harus ditempuh supaya bisa lulus S1?,"Beban belajar minimal untuk lulus Program Sarjana (S1) adalah 144 SKS, dirancang untuk ditempuh dalam 7–8 semester, dengan masa studi maksimal 14 semester.",lexical,Pasal 9,survey; answerable=Ya,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Batas penerimaan KIP-K sampai semester berapa?,Peraturan Akademik UNSRAT tidak mengatur secara eksplisit batas semester penerimaan beasiswa KIP-Kuliah. Dokumen ini hanya mewajibkan penerima KIP-K mengikuti kegiatan PKM atau program lain dari KEMDIKTISAINTEK; ketentuan batas semester kemungkinan diatur terpisah oleh pedoman teknis KIP-Kuliah dari kementerian.,abstract,Pasal 76(10),survey; answerable=Tidak (di luar cakupan dokumen),SHORT,PERFECT_GRAMMAR,single_hop_abstract_query_synthesizer
berapa sks untuk magang,"Peraturan Akademik UNSRAT tidak menyebutkan syarat SKS minimum bagi mahasiswa reguler untuk mengambil magang. Ketentuan SKS yang diatur secara eksplisit hanya berlaku bagi mahasiswa asing dari PT luar negeri sebagai mahasiswa magang/paruh waktu, yaitu minimal 14 SKS.",abstract,Pasal 22(2); Pasal 81(2),survey; answerable=Tidak (untuk mahasiswa reguler),SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
Apakah mahasiswa KIP-K boleh mengambil cuti akademik?,"Pada dasarnya tidak diperkenankan. Mahasiswa penerima beasiswa (termasuk KIP-Kuliah, yang dikategorikan sebagai beasiswa) tidak diperbolehkan mengambil cuti akademik, kecuali ada pertimbangan khusus dari Dekan/Direktur dan Rektor.",multi-hop,Pasal 49(5); Pasal 76(10),survey:sering_ditanyakan(4x);answerable=Ya (via inferensi 2 pasal),SHORT,PERFECT_GRAMMAR,multi_hop_specific_query_synthesizer
Kapan mahasiswa yang belum selesai kuliah akan dinyatakan DO?,"Mahasiswa dinyatakan DO berdasarkan tiga kategori: (1) Administratif — tidak registrasi/membayar UKT selama 4 semester berturut-turut; (2) Akademik — untuk S1, dievaluasi akhir semester 4 dan di-DO jika SKS lulus <45 dan IPK <2,00 (ketentuan berbeda berlaku untuk S2/S3); (3) Melewati batas masa studi maksimal, yaitu 14 semester untuk S1 (8 semester S2, 12 semester S3, dan batas berbeda untuk program profesi/spesialis).",multi-hop,Pasal 62(4)(6)(7)(14); Pasal 9,survey;answerable=Ya,MEDIUM,PERFECT_GRAMMAR,multi_hop_specific_query_synthesizer
"Bagaimana cara agar bisa lulus dalam 3,5 tahun?","Lulus dalam 3,5 tahun (7 semester) memungkinkan karena masa tempuh kurikulum S1 memang dirancang 7–8 semester. Strateginya antara lain: mengambil beban maksimal (20 SKS di semester 1–2, lalu hingga 24 SKS mulai semester 3), memanfaatkan Semester Antara (maksimal 9 SKS), menyetarakan skripsi melalui prestasi PKM tingkat nasional, menyetarakan KKT melalui PKM/PMM, serta menjaga nilai agar tidak perlu mengulang mata kuliah. Perlu dicatat, peraturan tingkat universitas tidak menyebutkan mekanisme percepatan resmi tersendiri di luar strategi pemenuhan 144 SKS ini.",semantic,Pasal 9,survey; answerable=Sebagian (tidak ada mekanisme percepatan khusus disebutkan),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
syarat berapa sks untuk ambil skripsi,"Peraturan Akademik UNSRAT tingkat universitas tidak menyebutkan syarat jumlah SKS minimum untuk mengontrak skripsi/tugas akhir. Yang diatur hanya bobot skripsi (6 SKS untuk S1) dan tahapannya (seminar proposal → seminar hasil → ujian akhir). Syarat SKS lebih spesifik kemungkinan diatur dalam pedoman tugas akhir masing-masing program studi, berbeda dengan KKT yang secara eksplisit mensyaratkan minimal 110 SKS.",abstract,Pasal 21(3)(4),survey; answerable=Tidak,SHORT,WEB_SEARCH_LIKE,single_hop_abstract_query_synthesizer
gimana sih prosedur tugas akhir dari awal sampai akhir?,"Prosedur tugas akhir meliputi: (1) status Aktif dan konsultasi PA, lalu kontrak skripsi (6 SKS) di KRS; (2) penunjukan Komisi Pembimbing melalui SK Dekan (berlaku 6 bulan, dapat diperpanjang); (3) tahapan Seminar Proposal → Seminar Hasil → Ujian Akhir; (4) syarat menempuh ujian akhir meliputi IPK ≥2,00, lulus semua mata kuliah lain, dan draf bebas plagiasi disetujui pembimbing dan Dekan; (5) ujian akhir diuji Komisi Ujian (Ketua, Sekretaris, 3 penguji) dengan kehadiran minimal 80%, penilaian 65% dari pembimbing dan 35% dari penguji; (6) syarat kelulusan S1 tambahan berupa publikasi jurnal nasional, kelulusan ditetapkan via SK Dekan, dan pendaftaran wisuda online maksimal 6 bulan setelah yudisium.",semantic,Pasal 21(3); Pasal 63,survey; answerable=Ya,MEDIUM,MISSPELLED,single_hop_specific_query_synthesizer
Apa saja berkas/dokumen yang perlu dipersiapkan untuk wisuda?,"Peraturan Akademik dan Kalender Akademik UNSRAT tidak merinci daftar berkas fisik/administratif detail untuk wisuda (seperti pas foto atau bukti bebas perpustakaan). Dokumen resmi yang wajib dipersiapkan adalah SK Yudisium (dasar sah kelulusan, ditetapkan melalui SK Dekan/Direktur), serta pendaftaran online melalui Portal INSPIRE paling lambat 6 bulan setelah tanggal yudisium.",multi-hop,Pasal 69(8); Pasal 78(2)(4),survey; answerable=Sebagian,MEDIUM,PERFECT_GRAMMAR,multi_hop_specific_query_synthesizer
Apa saja berkas/dokumen yang diperlukan untuk pelaksanaan Magang/Sempro/Semhas/Komprehensif?,"Peraturan Akademik UNSRAT tidak mencantumkan daftar spesifik berkas/dokumen administratif untuk pelaksanaan Magang, Seminar Proposal (Sempro), Seminar Hasil (Semhas), maupun Ujian Komprehensif.",multi-hop,Pasal 21(3),survey; answerable=Tidak,MEDIUM,PERFECT_GRAMMAR,multi_hop_specific_query_synthesizer
